,postid,DateTime,timestamp,username,entity_type,PostLevel,stcode11,dtcode11,post_description,feed_pictures,feed_video,feed_news,feed_documents,experience_rating,priority,tot_agreed,tot_disagreed,Language,lat,lng,pinned,tot_comments,entity_name,entity_id,uid,profile_picture,stname,dtname,Title,tsv,title_post_text,translation,lang,preprocessed_text,ngrams,score_keywords,cosine_sim,final_score,classifier
102,3.75307E+18,,1.6044E+12,Jaano Punjab,0,State,3,-1,"We wish our partners in progress from UAE a very Happy Flag Day.

#UAEflagday 

@IndembAbuDhabi @UAEembassyIndia @emaardubai @LuluGroup 
(Posted on Twitter by @invest_punjab)",{https://pbs.twimg.com/media/El5MWlPU0AAHQd7.jpg},NaN,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Punjab,,,"'a':9A 'by':22A 'day':13A 'emaardubai':17A 'flag':12A 'from':7A 'happy':11A 'in':5A 'indembabudhabi':15A 'invest':23A 'jaano':25C 'lulugroup':18A 'on':20A 'our':3A 'partners':4A 'posted':19A 'progress':6A 'punjab':24A,26C 'twitter':21A 'uae':8A 'uaeembassyindia':16A 'uaeflagday':14A 'very':10A 'we':1A 'wish':2A", We wish our partners in progress from UAE a very Happy Flag Day.  #UAEflagday   @IndembAbuDhabi @UAEembassyIndia @emaardubai @LuluGroup  (),We wish our partners in progress from UAE a very Happy Flag Day.  #UAEflagday   @IndembAbuDhabi @UAEembassyIndia @emaardubai @LuluGroup  (),en,"['w', 'we', 'wish', 'our', 'partners', 'in', 'progress', 'from', 'uae', 'a', 'very', 'happy', 'flag', 'day', 'uaeflagday', 'indembabudhabi', 'uaeembassyindia', 'emaardubai', 'lulugroup']","['uae', 'happy flag day', 'dem', 'day', 'india', 'wish', 'babu', 'in', 'embassy', 'progress', 'maar', 'lulu', 'flag', 'dhabi', 'group', 'dubai', 'partners']",1,0.434316937,0.434316937,business and accounts
103,9.97312E+17,,1.6044E+12,Jaano Uttarakhand,0,State,5,-1,"Tungnath is one of the highest Shiva temples in the world 
(Posted on Twitter by @MygovU)",{https://pbs.twimg.com/media/El5R41rVcAAOF8q.jpg},NaN,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Uttarakhand,,,"'by':15A 'highest':6A 'in':9A 'is':2A 'jaano':17C 'mygovu':16A 'of':4A 'on':13A 'one':3A 'posted':12A 'shiva':7A 'temples':8A 'the':5A,10A 'tungnath':1A 'twitter':14A 'uttarakhand':18C 'world':11A", Tungnath is one of the highest Shiva temples in the world  (),Tungnath is one of the highest Shiva temples in the world  (),en,"['t', 'tungnath', 'is', 'one', 'of', 'the', 'highest', 'shiva', 'temples', 'in', 'world']","['highest shiva temples', 'tungnath', 'world', 'one']",1,0.39743118,0.39743118,government works
104,2.86109E+18,,1.6044E+12,Jaano Uttarakhand,0,State,5,-1,"देवभूमि को भ्रष्टाचार और माफिया मुक्त बनाने के लिए हमारी सरकार कटिबद्ध है। #ZeroToleranceonCorruption https://t.co/dYKQZ928xP via @FacebookWatch
(Posted on Twitter by @MygovU)",{},,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Uttarakhand,,,'/dykqz928xp':17A 'by':23A 'facebookwatch':19A 'jaano':25C 'mygovu':24A 'on':21A 'posted':20A 't.co':16A 't.co/dykqz928xp':15A 'twitter':22A 'uttarakhand':26C 'via':18A 'zerotoleranceoncorruption':14A 'और':4A 'कटिबद्ध':12A 'के':8A 'को':2A 'देवभूमि':1A 'बनाने':7A 'भ्रष्टाचार':3A 'माफिया':5A 'मुक्त':6A 'लिए':9A 'सरकार':11A 'हमारी':10A 'है':13A, देवभूमि को भ्रष्टाचार और माफिया मुक्त बनाने के लिए हमारी सरकार कटिबद्ध है। #ZeroToleranceonCorruption  via @FacebookWatch (),Our government is committed to make Devbhoomi free from corruption and mafia. #ZeroToleranceonCorruption via @FacebookWatch (),hi,"['o', 'देवभूमि', 'को', 'भ्रष्टाचार', 'और', 'माफिया', 'मुक्त', 'बनाने', 'के', 'लिए', 'हमारी', 'सरकार', 'कटिबद्ध', 'है।', 'zerotoleranceoncorruption', 'via', 'facebookwatch']","['face', 'committed', 'corruption', 'make devbhoomi free', 'book', 'tolerance', 'mafia via', 'on', 'watch', 'government', 'zero']",1,0.63907569,0.63907569,government works
105,1.14786E+17,,1.6044E+12,Jaano Madhya Pradesh,0,State,23,-1,"आप एक जिम्मेदार नागरिक हैं और आपके सहयोग से कोरोना संक्रमण को फैलने से रोका जा सकता है। इसलिए जागरूक रहें, सावधान रहें और सभी आवश्यक सुरक्षा उपायों का पालन करें।
#सावधानी_में_ही_सुरक्षा
#Unite2FightCorona
#JansamparkMP 
(Posted on Twitter by @minmpwrd)",{https://pbs.twimg.com/media/El5Pc5NU0AADGiV.jpg},NaN,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Madhya Pradesh,,,"'by':41A 'jaano':43C 'jansamparkmp':37A 'madhya':44C 'minmpwrd':42A 'on':39A 'posted':38A 'pradesh':45C 'twitter':40A 'unite2fightcorona':36A 'आप':1A 'आपके':7A 'आवश्यक':26A 'इसलिए':19A 'उपायों':28A 'एक':2A 'और':6A,24A 'करें':31A 'का':29A 'को':12A 'कोरोना':10A 'जा':16A 'जागरूक':20A 'जिम्मेदार':3A 'नागरिक':4A 'पालन':30A 'फैलने':13A 'में':33A 'रहें':21A,23A 'रोका':15A 'संक्रमण':11A 'सकता':17A 'सभी':25A 'सहयोग':8A 'सावधान':22A 'सावधानी':32A 'सुरक्षा':27A,35A 'से':9A,14A 'ही':34A 'है':18A 'हैं':5A"," आप एक जिम्मेदार नागरिक हैं और आपके सहयोग से कोरोना संक्रमण को फैलने से रोका जा सकता है। इसलिए जागरूक रहें, सावधान रहें और सभी आवश्यक सुरक्षा उपायों का पालन करें। #सावधानी_में_ही_सुरक्षा #Unite2FightCorona #JansamparkMP  ()","You are a responsible citizen and with your cooperation the corona infection can be prevented from spreading. So be aware, be careful and follow all necessary safety measures. # Caution_In_High_Security # Unite2FightCorona #JansamparkMP ()",hi,"['y', 'आप', 'एक', 'जिम्मेदार', 'नागरिक', 'हैं', 'और', 'आपके', 'सहयोग', 'से', 'कोरोना', 'संक्रमण', 'को', 'फैलने', 'रोका', 'जा', 'सकता', 'है।', 'इसलिए', 'जागरूक', 'रहें', 'सावधान', 'सभी', 'आवश्यक', 'सुरक्षा', 'उपायों', 'का', 'पालन', 'करें।', 'सावधानीमेंहीसुरक्षा', 'unitefightcorona', 'jansamparkmp']","['cooperation', 'jan', 'aware', 'park', 'careful', 'prevented', 'responsible citizen', 'necessary safety measures caution_in_high_security unite fightcorona', 'follow', 'mp', 'corona infection', 'spreading', 'sam']",1,0.700933979,0.700933979,safety and security
108,1.08706E+18,,1.6044E+12,Jaano Madhya Pradesh,0,State,23,-1,"आप एक जिम्मेदार नागरिक हैं और आपके सहयोग से कोरोना संक्रमण को फैलने से रोका जा सकता है। इसलिए जागरूक रहें, सावधान रहें और सभी आवश्यक सुरक्षा उपायों का पालन करें।
#सावधानी_में_ही_सुरक्षा
#Unite2FightCorona
#JansamparkMP 
(Posted on Twitter by @WelfareTribal)",{https://pbs.twimg.com/media/El5O5_SVcAEm8BZ.jpg},NaN,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Madhya Pradesh,,,"'by':41A 'jaano':43C 'jansamparkmp':37A 'madhya':44C 'on':39A 'posted':38A 'pradesh':45C 'twitter':40A 'unite2fightcorona':36A 'welfaretribal':42A 'आप':1A 'आपके':7A 'आवश्यक':26A 'इसलिए':19A 'उपायों':28A 'एक':2A 'और':6A,24A 'करें':31A 'का':29A 'को':12A 'कोरोना':10A 'जा':16A 'जागरूक':20A 'जिम्मेदार':3A 'नागरिक':4A 'पालन':30A 'फैलने':13A 'में':33A 'रहें':21A,23A 'रोका':15A 'संक्रमण':11A 'सकता':17A 'सभी':25A 'सहयोग':8A 'सावधान':22A 'सावधानी':32A 'सुरक्षा':27A,35A 'से':9A,14A 'ही':34A 'है':18A 'हैं':5A"," आप एक जिम्मेदार नागरिक हैं और आपके सहयोग से कोरोना संक्रमण को फैलने से रोका जा सकता है। इसलिए जागरूक रहें, सावधान रहें और सभी आवश्यक सुरक्षा उपायों का पालन करें। #सावधानी_में_ही_सुरक्षा #Unite2FightCorona #JansamparkMP  ()","You are a responsible citizen and with your cooperation the corona infection can be prevented from spreading. So be aware, be careful and follow all necessary safety measures. # Caution_In_High_Security # Unite2FightCorona #JansamparkMP ()",hi,"['y', 'आप', 'एक', 'जिम्मेदार', 'नागरिक', 'हैं', 'और', 'आपके', 'सहयोग', 'से', 'कोरोना', 'संक्रमण', 'को', 'फैलने', 'रोका', 'जा', 'सकता', 'है।', 'इसलिए', 'जागरूक', 'रहें', 'सावधान', 'सभी', 'आवश्यक', 'सुरक्षा', 'उपायों', 'का', 'पालन', 'करें।', 'सावधानीमेंहीसुरक्षा', 'unitefightcorona', 'jansamparkmp']","['cooperation', 'jan', 'aware', 'park', 'careful', 'prevented', 'responsible citizen', 'necessary safety measures caution_in_high_security unite fightcorona', 'follow', 'mp', 'corona infection', 'spreading', 'sam']",1,0.700933979,0.700933979,safety and security
109,2.95167E+18,,1.6044E+12,Jaano Madhya Pradesh,0,State,23,-1,"आप एक जिम्मेदार नागरिक हैं और आपके सहयोग से कोरोना संक्रमण को फैलने से रोका जा सकता है। इसलिए जागरूक रहें, सावधान रहें और सभी आवश्यक सुरक्षा उपायों का पालन करें।
#सावधानी_में_ही_सुरक्षा
#Unite2FightCorona
#JansamparkMP 
(Posted on Twitter by @scstwelfaremp)",{https://pbs.twimg.com/media/El5OvPJU0AAWLdd.jpg},NaN,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Madhya Pradesh,,,"'by':41A 'jaano':43C 'jansamparkmp':37A 'madhya':44C 'on':39A 'posted':38A 'pradesh':45C 'scstwelfaremp':42A 'twitter':40A 'unite2fightcorona':36A 'आप':1A 'आपके':7A 'आवश्यक':26A 'इसलिए':19A 'उपायों':28A 'एक':2A 'और':6A,24A 'करें':31A 'का':29A 'को':12A 'कोरोना':10A 'जा':16A 'जागरूक':20A 'जिम्मेदार':3A 'नागरिक':4A 'पालन':30A 'फैलने':13A 'में':33A 'रहें':21A,23A 'रोका':15A 'संक्रमण':11A 'सकता':17A 'सभी':25A 'सहयोग':8A 'सावधान':22A 'सावधानी':32A 'सुरक्षा':27A,35A 'से':9A,14A 'ही':34A 'है':18A 'हैं':5A"," आप एक जिम्मेदार नागरिक हैं और आपके सहयोग से कोरोना संक्रमण को फैलने से रोका जा सकता है। इसलिए जागरूक रहें, सावधान रहें और सभी आवश्यक सुरक्षा उपायों का पालन करें। #सावधानी_में_ही_सुरक्षा #Unite2FightCorona #JansamparkMP  ()","You are a responsible citizen and with your cooperation the corona infection can be prevented from spreading. So be aware, be careful and follow all necessary safety measures. # Caution_In_High_Security # Unite2FightCorona #JansamparkMP ()",hi,"['y', 'आप', 'एक', 'जिम्मेदार', 'नागरिक', 'हैं', 'और', 'आपके', 'सहयोग', 'से', 'कोरोना', 'संक्रमण', 'को', 'फैलने', 'रोका', 'जा', 'सकता', 'है।', 'इसलिए', 'जागरूक', 'रहें', 'सावधान', 'सभी', 'आवश्यक', 'सुरक्षा', 'उपायों', 'का', 'पालन', 'करें।', 'सावधानीमेंहीसुरक्षा', 'unitefightcorona', 'jansamparkmp']","['cooperation', 'jan', 'aware', 'park', 'careful', 'prevented', 'responsible citizen', 'necessary safety measures caution_in_high_security unite fightcorona', 'follow', 'mp', 'corona infection', 'spreading', 'sam']",1,0.700933979,0.700933979,safety and security
111,2.06082E+18,,1.6044E+12,Jaano Himachal Pradesh,0,State,2,-1,"मुख्यमंत्री श्री जयराम ठाकुर जी ने हरोली विधानसभा क्षेत्र में ‘‘बल्क ड्रग पार्क’’ के प्रस्तावित स्थल का निरीक्षण किया।

मुख्यमंत्री जी ने कहा कि इस महत्वपूर्ण परियोजना को स्वीकृत करने एवं ऊना के हरोली में स्थापित करने हेतु हमने केंद्र सरकार के समक्ष प्राथमिकता से मांग रखी है। 
(Posted on Twitter by @CMOFFICEHP)","{https://pbs.twimg.com/media/El5OAxjVcAAMldH.jpg,https://pbs.twimg.com/media/El5OBcsUcAAcrka.jpg}",NaN,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Himachal Pradesh,,,"'by':52A 'cmofficehp':53A 'himachal':55C 'jaano':54C 'on':50A 'posted':49A 'pradesh':56C 'twitter':51A 'इस':25A 'ऊना':32A 'एवं':31A 'करने':30A,37A 'कहा':23A 'का':17A 'कि':24A 'किया':19A 'के':14A,33A,42A 'केंद्र':40A 'को':28A 'क्षेत्र':9A 'जयराम':3A 'जी':5A,21A 'ठाकुर':4A 'ड्रग':12A 'निरीक्षण':18A 'ने':6A,22A 'परियोजना':27A 'पार्क':13A 'प्रस्तावित':15A 'प्राथमिकता':44A 'बल्क':11A 'महत्वपूर्ण':26A 'मांग':46A 'मुख्यमंत्री':1A,20A 'में':10A,35A 'रखी':47A 'विधानसभा':8A 'श्री':2A 'समक्ष':43A 'सरकार':41A 'से':45A 'स्थल':16A 'स्थापित':36A 'स्वीकृत':29A 'हमने':39A 'हरोली':7A,34A 'हेतु':38A 'है':48A", मुख्यमंत्री श्री जयराम ठाकुर जी ने हरोली विधानसभा क्षेत्र में ‘‘बल्क ड्रग पार्क’’ के प्रस्तावित स्थल का निरीक्षण किया।  मुख्यमंत्री जी ने कहा कि इस महत्वपूर्ण परियोजना को स्वीकृत करने एवं ऊना के हरोली में स्थापित करने हेतु हमने केंद्र सरकार के समक्ष प्राथमिकता से मांग रखी है।  (),"Chief Minister Jairam Thakur ji inspected the proposed site of ""Bulk Drug Park"" in Haroli Assembly constituency. The Chief Minister said that to approve this important project and install it in Haroli, Una, we have made a priority demand before the Central Government. ()",hi,"['c', 'मुख्यमंत्री', 'श्री', 'जयराम', 'ठाकुर', 'जी', 'ने', 'हरोली', 'विधानसभा', 'क्षेत्र', 'में', '‘‘बल्क', 'ड्रग', 'पार्क’’', 'के', 'प्रस्तावित', 'स्थल', 'का', 'निरीक्षण', 'किया।', 'कहा', 'कि', 'इस', 'महत्वपूर्ण', 'परियोजना', 'को', 'स्वीकृत', 'करने', 'एवं', 'ऊना', 'स्थापित', 'हेतु', 'हमने', 'केंद्र', 'सरकार', 'समक्ष', 'प्राथमिकता', 'से', 'मांग', 'रखी', 'है।']","['bulk drug park', 'install', 'haroli assembly constituency', 'chief minister jairam thakur ji inspected', 'central government', 'haroli una', 'chief minister said', 'priority demand', 'approve', 'proposed site', 'made', 'important project']",1,0.624383456,0.624383456,government works
112,3.92451E+18,,1.6044E+12,Jaano Madhya Pradesh,0,State,23,-1,"बाजार में खरीदारी करते समय #COVID19 के संक्रमण से बचने के लिए सभी आवश्यक सुरक्षा उपायों का पालन करें और दूसरों को भी ऐसा करने के लिए प्रेरित करें।
#सावधानी_में_ही_सुरक्षा
#Unite2FightCorona
#JansamparkMP 
(Posted on Twitter by @WelfareTribal)",{https://pbs.twimg.com/media/El5MwvKUYAESuKH.jpg},NaN,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Madhya Pradesh,,,"'by':39A 'covid19':6A 'jaano':41C 'jansamparkmp':35A 'madhya':42C 'on':37A 'posted':36A 'pradesh':43C 'twitter':38A 'unite2fightcorona':34A 'welfaretribal':40A 'आवश्यक':14A 'उपायों':16A 'ऐसा':24A 'और':20A 'करते':4A 'करने':25A 'करें':19A,29A 'का':17A 'के':7A,11A,26A 'को':22A 'खरीदारी':3A 'दूसरों':21A 'पालन':18A 'प्रेरित':28A 'बचने':10A 'बाजार':1A 'भी':23A 'में':2A,31A 'लिए':12A,27A 'संक्रमण':8A 'सभी':13A 'समय':5A 'सावधानी':30A 'सुरक्षा':15A,33A 'से':9A 'ही':32A", बाजार में खरीदारी करते समय #COVID19 के संक्रमण से बचने के लिए सभी आवश्यक सुरक्षा उपायों का पालन करें और दूसरों को भी ऐसा करने के लिए प्रेरित करें। #सावधानी_में_ही_सुरक्षा #Unite2FightCorona #JansamparkMP  (),"When shopping in the market, follow all necessary safety measures to avoid the infection of # COVID19 and inspire others to do the same. # Caution_In_High_Security # Unite2FightCorona #JansamparkMP ()",hi,"['w', 'बाजार', 'में', 'खरीदारी', 'करते', 'समय', 'covid', 'के', 'संक्रमण', 'से', 'बचने', 'लिए', 'सभी', 'आवश्यक', 'सुरक्षा', 'उपायों', 'का', 'पालन', 'करें', 'और', 'दूसरों', 'को', 'भी', 'ऐसा', 'करने', 'प्रेरित', 'करें।', 'सावधानीमेंहीसुरक्षा', 'unitefightcorona', 'jansamparkmp']","['infection', 'necessary safety measures', 'market follow', 'jan', 'park', 'covid', 'inspire others', 'caution_in_high_security unite fightcorona', 'mp', 'avoid', 'sam', 'shopping']",1,0.696184201,0.696184201,safety and security
113,1.17801E+18,,1.6044E+12,Jaano Madhya Pradesh,0,State,23,-1,"बाजार में खरीदारी करते समय #COVID19 के संक्रमण से बचने के लिए सभी आवश्यक सुरक्षा उपायों का पालन करें और दूसरों को भी ऐसा करने के लिए प्रेरित करें।
#सावधानी_में_ही_सुरक्षा
#Unite2FightCorona
#JansamparkMP 
(Posted on Twitter by @scstwelfaremp)",{https://pbs.twimg.com/media/El5NgAPU0AAwf6W.jpg},NaN,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Madhya Pradesh,,,"'by':39A 'covid19':6A 'jaano':41C 'jansamparkmp':35A 'madhya':42C 'on':37A 'posted':36A 'pradesh':43C 'scstwelfaremp':40A 'twitter':38A 'unite2fightcorona':34A 'आवश्यक':14A 'उपायों':16A 'ऐसा':24A 'और':20A 'करते':4A 'करने':25A 'करें':19A,29A 'का':17A 'के':7A,11A,26A 'को':22A 'खरीदारी':3A 'दूसरों':21A 'पालन':18A 'प्रेरित':28A 'बचने':10A 'बाजार':1A 'भी':23A 'में':2A,31A 'लिए':12A,27A 'संक्रमण':8A 'सभी':13A 'समय':5A 'सावधानी':30A 'सुरक्षा':15A,33A 'से':9A 'ही':32A", बाजार में खरीदारी करते समय #COVID19 के संक्रमण से बचने के लिए सभी आवश्यक सुरक्षा उपायों का पालन करें और दूसरों को भी ऐसा करने के लिए प्रेरित करें। #सावधानी_में_ही_सुरक्षा #Unite2FightCorona #JansamparkMP  (),"When shopping in the market, follow all necessary safety measures to avoid the infection of # COVID19 and inspire others to do the same. # Caution_In_High_Security # Unite2FightCorona #JansamparkMP ()",hi,"['w', 'बाजार', 'में', 'खरीदारी', 'करते', 'समय', 'covid', 'के', 'संक्रमण', 'से', 'बचने', 'लिए', 'सभी', 'आवश्यक', 'सुरक्षा', 'उपायों', 'का', 'पालन', 'करें', 'और', 'दूसरों', 'को', 'भी', 'ऐसा', 'करने', 'प्रेरित', 'करें।', 'सावधानीमेंहीसुरक्षा', 'unitefightcorona', 'jansamparkmp']","['infection', 'necessary safety measures', 'market follow', 'jan', 'park', 'covid', 'inspire others', 'caution_in_high_security unite fightcorona', 'mp', 'avoid', 'sam', 'shopping']",1,0.696184201,0.696184201,safety and security
115,6.39482E+17,,1.6044E+12,Jaano Lalitpur,0,District,9,167,"तहसील मड़ावरा में जिलाधिकारी ने सम्पूर्ण समाधान दिवस के दौरान सुनी जनसमस्याएं
मौके पर कृषकों को बीज किट एवं समूहों की महिलाओं को विद्युत बिल कलेक्शन हेतु मशीने वितरित कीं। 
(Posted on Twitter by @DMLalitpur)","{https://pbs.twimg.com/media/El5NAyNVkAAPWMT.jpg,https://pbs.twimg.com/media/El5NAyRVcAAUKyx.jpg}",NaN,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,UTTAR PRADESH,Lalitpur,,"'by':34A 'dmlalitpur':35A 'jaano':36C 'lalitpur':37C 'on':32A 'posted':31A 'twitter':33A 'एवं':19A 'कलेक्शन':26A 'किट':18A 'की':21A 'कीं':30A 'कृषकों':15A 'के':9A 'को':16A,23A 'जनसमस्याएं':12A 'जिलाधिकारी':4A 'तहसील':1A 'दिवस':8A 'दौरान':10A 'ने':5A 'पर':14A 'बिल':25A 'बीज':17A 'मड़ावरा':2A 'मशीने':28A 'महिलाओं':22A 'में':3A 'मौके':13A 'वितरित':29A 'विद्युत':24A 'समाधान':7A 'समूहों':20A 'सम्पूर्ण':6A 'सुनी':11A 'हेतु':27A", तहसील मड़ावरा में जिलाधिकारी ने सम्पूर्ण समाधान दिवस के दौरान सुनी जनसमस्याएं मौके पर कृषकों को बीज किट एवं समूहों की महिलाओं को विद्युत बिल कलेक्शन हेतु मशीने वितरित कीं।  (),"In Tahsil Madavara, the District Magistrate during the Samadhan Samadhan Divas distributed public issues on the occasion, distributed seed kits to farmers and machines for collection of electricity bills to the women of the groups. ()",hi,"['i', 'तहसील', 'मड़ावरा', 'में', 'जिलाधिकारी', 'ने', 'सम्पूर्ण', 'समाधान', 'दिवस', 'के', 'दौरान', 'सुनी', 'जनसमस्याएं', 'मौके', 'पर', 'कृषकों', 'को', 'बीज', 'किट', 'एवं', 'समूहों', 'की', 'महिलाओं', 'विद्युत', 'बिल', 'कलेक्शन', 'हेतु', 'मशीने', 'वितरित', 'कीं।']","['district magistrate', 'women', 'samadhan samadhan divas distributed public issues', 'collection', 'farmers', 'groups', 'machines', 'tahsil madavara', 'occasion distributed seed kits', 'electricity bills']",1,0.563303289,0.563303289,government works
116,2.50381E+18,,1.6044E+12,Jaano Mahoba,0,District,9,169,"#MishanShakti अंतर्गत आज राजकीय बालिका इंटर कॉलेज चरखारी में छात्राओं को उनके अधिकारों के प्रति जागरूक किया गया तथा उन्हें स्वयं की सुरक्षा हेतु आपातकालीन सेवाओं की जानकारी दी गयी।
@UPGovt 
@InfoDeptUP 
@CMOfficeUP 
(Posted on Twitter by @DmMahoba)","{https://pbs.twimg.com/media/El5M1EaVMAEDCKN.jpg,https://pbs.twimg.com/media/El5M3-HVoAA06U2.jpg,https://pbs.twimg.com/media/El5M9FRVMAExy4R.jpg,https://pbs.twimg.com/media/El5NAExVkAAhGxR.jpg}",NaN,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,UTTAR PRADESH,Mahoba,,"'by':37A 'cmofficeup':33A 'dmmahoba':38A 'infodeptup':32A 'jaano':39C 'mahoba':40C 'mishanshakti':1A 'on':35A 'posted':34A 'twitter':36A 'upgovt':31A 'अंतर्गत':2A 'अधिकारों':13A 'आज':3A 'आपातकालीन':25A 'इंटर':6A 'उनके':12A 'उन्हें':20A 'किया':17A 'की':22A,27A 'के':14A 'कॉलेज':7A 'को':11A 'गया':18A 'गयी':30A 'चरखारी':8A 'छात्राओं':10A 'जागरूक':16A 'जानकारी':28A 'तथा':19A 'दी':29A 'प्रति':15A 'बालिका':5A 'में':9A 'राजकीय':4A 'सुरक्षा':23A 'सेवाओं':26A 'स्वयं':21A 'हेतु':24A", #MishanShakti अंतर्गत आज राजकीय बालिका इंटर कॉलेज चरखारी में छात्राओं को उनके अधिकारों के प्रति जागरूक किया गया तथा उन्हें स्वयं की सुरक्षा हेतु आपातकालीन सेवाओं की जानकारी दी गयी। @UPGovt  @InfoDeptUP  @CMOfficeUP  (),"Under #MishanShakti, girl students were made aware of their rights in Government Girls Inter College Charkhari today and were informed about emergency services for their own safety. @UPGovt @InfoDeptUP @CMOfficeUP ()",hi,"['u', 'mishanshakti', 'अंतर्गत', 'आज', 'राजकीय', 'बालिका', 'इंटर', 'कॉलेज', 'चरखारी', 'में', 'छात्राओं', 'को', 'उनके', 'अधिकारों', 'के', 'प्रति', 'जागरूक', 'किया', 'गया', 'तथा', 'उन्हें', 'स्वयं', 'की', 'सुरक्षा', 'हेतु', 'आपातकालीन', 'सेवाओं', 'जानकारी', 'दी', 'गयी।', 'upgovt', 'infodeptup', 'cmofficeup']","['up', 'cm', 'government girls inter college charkhari today', 'office', 'dept', 'info', 'govt', 'emergency services', 'made aware', 'informed', 'mishanshakti girl students', 'rights', 'safety']",1,0.707667009,0.707667009,government works
117,2.86231E+17,,1.6044E+12,Jaano Arunachal Pradesh,0,State,12,-1,"Hon'ble Chief Minister @PemaKhanduBJP held the periodic monthly #cabinet meeting today where discussions & decision-making are transpired for speedy #development of the state. 
(Posted on Twitter by @MyGovArunachal)","{https://pbs.twimg.com/media/El5M1LPXgAIyprS.jpg,https://pbs.twimg.com/media/El5M2aMXgAE2Kl0.jpg}",NaN,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,Arunachal Pradesh,,,"'are':18A 'arunachal':32C 'ble':2A 'by':29A 'cabinet':10A 'chief':3A 'decision':16A 'decision-making':15A 'development':22A 'discussions':14A 'for':20A 'held':6A 'hon':1A 'jaano':31C 'making':17A 'meeting':11A 'minister':4A 'monthly':9A 'mygovarunachal':30A 'of':23A 'on':27A 'pemakhandubjp':5A 'periodic':8A 'posted':26A 'pradesh':33C 'speedy':21A 'state':25A 'the':7A,24A 'today':12A 'transpired':19A 'twitter':28A 'where':13A", Hon'ble Chief Minister @PemaKhanduBJP held the periodic monthly #cabinet meeting today where discussions & decision-making are transpired for speedy #development of the state.  (),Hon'ble Chief Minister @PemaKhanduBJP held the periodic monthly #cabinet meeting today where discussions & decision-making are transpired for speedy #development of the state.  (),en,"['h', 'honble', 'chief', 'minister', 'pemakhandubjp', 'held', 'the', 'periodic', 'monthly', 'cabinet', 'meeting', 'today', 'where', 'discussions', 'decisionmaking', 'are', 'transpired', 'for', 'speedy', 'development', 'of', 'state']","['periodic monthlymeeting today', 'dub', 'pem', 'development', 'transpired', 'discussions decision making', 'cabinet', 'hon ble chief minister held', 'khan', 'state', 'speedyof', 'jp']",1,0.536870169,0.536870169,government works
118,4.35946E+18,,1.6044E+12,Jaano Allahabad,0,District,9,175,"प्रयागराज में ई-मुखविर सेवा (E-Informer) शुरू। https://t.co/vbywws2uVd
(Posted on Twitter by @DM_PRAYAGRAJ)",{},,NaN,,-1,,0,0,en,NaN,NaN,,,,,,,UTTAR PRADESH,Allahabad,,'/vbywws2uvd':13A 'allahabad':21C 'by':17A 'dm':18A 'e':8A 'e-informer':7A 'informer':9A 'jaano':20C 'on':15A 'posted':14A 'prayagraj':19A 't.co':12A 't.co/vbywws2uvd':11A 'twitter':16A 'ई':4A 'ई-मुखविर':3A 'प्रयागराज':1A 'मुखविर':5A 'में':2A 'शुरू':10A 'सेवा':6A, प्रयागराज में ई-मुखविर सेवा (E-Informer) शुरू।  (),E-Informer service started in Prayagraj. (),hi,"['e', 'प्रयागराज', 'में', 'ईमुखविर', 'सेवा', 'einformer', 'शुरू।']","['e informer service started', 'prayagraj']",1,0.48289519,0.48289519,social service
